TimeStamp,Date,CountyName,Province,PopulationCensus16,ConfirmedCovidCases,NewCases,3DayAvg,7DayAvg
1585440000000,29/03/2020,Sligo,Connacht,65535,19,0,3,2
1585440000000,29/03/2020,Tipperary,Munster,159553,71,9,9,7
1585440000000,29/03/2020,Waterford,Munster,116176,33,-1,1,3
1585440000000,29/03/2020,Westmeath,Leinster,88770,77,7,8,8
1585440000000,29/03/2020,Wexford,Leinster,149722,15,3,2,1
1585440000000,29/03/2020,Wicklow,Leinster,142425,73,4,5,6
1585526400000,30/03/2020,Carlow,Leinster,56932,3,0,0,0
1585526400000,30/03/2020,Cavan,Ulster,76176,36,5,6,4
1585526400000,30/03/2020,Clare,Munster,118817,45,5,4,5
1585526400000,30/03/2020,Cork,Munster,542868,255,17,16,17
1585526400000,30/03/2020,Donegal,Ulster,159192,63,17,13,7
1585526400000,30/03/2020,Dublin,Leinster,1347359,1645,158,137,141
1585526400000,30/03/2020,Galway,Connacht,258058,88,2,7,7
1585526400000,30/03/2020,Kerry,Munster,147707,68,2,5,5
1585526400000,30/03/2020,Kildare,Leinster,222504,80,14,6,7
1585526400000,30/03/2020,Kilkenny,Leinster,99232,37,1,1,3
1585526400000,30/03/2020,Laois,Leinster,84697,16,1,1,1
1585526400000,30/03/2020,Leitrim,Connacht,32044,10,4,2,1
1585526400000,30/03/2020,Limerick,Munster,194899,87,20,11,10
1585526400000,30/03/2020,Longford,Leinster,40873,12,2,1,1
1585526400000,30/03/2020,Louth,Leinster,128884,51,7,6,5
1585526400000,30/03/2020,Mayo,Connacht,130507,48,12,7,6
1585526400000,30/03/2020,Meath,Leinster,195044,66,12,7,6
1585526400000,30/03/2020,Monaghan,Ulster,61386,13,0,1,1
1585526400000,30/03/2020,Offaly,Leinster,77961,40,6,4,4
1585526400000,30/03/2020,Roscommon,Connacht,64544,10,0,0,1
1585526400000,30/03/2020,Sligo,Connacht,65535,22,3,3,2
1585526400000,30/03/2020,Tipperary,Munster,159553,85,14,11,9
1585526400000,30/03/2020,Waterford,Munster,116176,37,4,2,3
1585526400000,30/03/2020,Westmeath,Leinster,88770,80,3,4,8
1585526400000,30/03/2020,Wexford,Leinster,149722,15,0,1,1
1585526400000,30/03/2020,Wicklow,Leinster,142425,77,4,4,5
1585612800000,31/03/2020,Carlow,Leinster,56932,3,0,0,0
1585612800000,31/03/2020,Cavan,Ulster,76176,39,3,5,5
1585612800000,31/03/2020,Clare,Munster,118817,49,4,5,3
1585612800000,31/03/2020,Cork,Munster,542868,272,17,18,17
1585612800000,31/03/2020,Donegal,Ulster,159192,68,5,11,8
1585612800000,31/03/2020,Dublin,Leinster,1347359,1838,193,148,152
1585612800000,31/03/2020,Galway,Connacht,258058,91,3,5,7
1585612800000,31/03/2020,Kerry,Munster,147707,72,4,4,5
1585612800000,31/03/2020,Kildare,Leinster,222504,90,10,9,7
1585612800000,31/03/2020,Kilkenny,Leinster,99232,37,0,0,3
1585612800000,31/03/2020,Laois,Leinster,84697,16,0,1,1
1585612800000,31/03/2020,Leitrim,Connacht,32044,12,2,2,1
1585612800000,31/03/2020,Limerick,Munster,194899,94,7,10,10
1585612800000,31/03/2020,Longford,Leinster,40873,14,2,1,2
